epoch,train_loss,validation_loss,token_f1,field_macro_f1,learning_rate,elapsed_time
1,0.7666405623419243,0.1868693458152489,0.612942612942613,0.2727845398248986,8.888888888888888e-06,127.64075681194663
2,0.13186411524289532,0.08232416700519307,0.820763956904995,0.5673369395358037,6.666666666666667e-06,117.57254588231444
3,0.07848083919012233,0.06808421690620377,0.846081208687441,0.5987341826702939,4.444444444444444e-06,117.68678881041706
4,0.0615527684457208,0.06136300898826038,0.8538899430740038,0.6071122566464308,2.222222222222222e-06,118.3314143884927
5,0.052901825828379705,0.059224570878374745,0.8647114474929044,0.6231337901366925,0.0,118.65647425316274
